PBAD-rJ,AraC-PBAD-rJ,AraC-PBAD,PCymRC-rJ,CymRC-PCymRC-rJ,RhaS-PRhaB-rJ,PCin-rJ,PPhlF-rJ,PSalTTC-rJ,PVanCC-rJ,PTac-rJ,PTet*-rJ,PTtg-rJ,PCymRC-rJ.2,CymRC-PCymRC-rJ.2
1.24E-05,1.24E-05,1.24E-05,0.09765625,0.09765625,7.470703125,0.05859375,0.244140625,0.78125,0.9765625,0.9765625,0.000976563,0.9765625,0.9765625,0.9765625
4.96E-05,4.96E-05,4.96E-05,0.1953125,0.1953125,14.94140625,0.1171875,0.48828125,1.5625,1.953125,1.953125,0.001953125,1.953125,1.953125,1.953125
0.000198364,0.000198364,0.000198364,0.390625,0.390625,29.8828125,0.234375,0.9765625,3.125,3.90625,3.90625,0.00390625,3.90625,3.90625,3.90625
0.000793457,0.000793457,0.000793457,0.78125,0.78125,59.765625,0.46875,1.953125,6.25,7.8125,7.8125,0.0078125,7.8125,7.8125,7.8125
0.003173828,0.003173828,0.003173828,1.5625,1.5625,119.53125,0.9375,3.90625,12.5,15.625,15.625,0.015625,15.625,15.625,15.625
0.012695313,0.012695313,0.012695313,3.125,3.125,239.0625,1.875,7.8125,25,31.25,31.25,0.03125,31.25,31.25,31.25
0.05078125,0.05078125,0.05078125,6.25,6.25,478.125,3.75,15.625,50,62.5,62.5,0.0625,62.5,62.5,62.5
0.203125,0.203125,0.203125,12.5,12.5,956.25,7.5,31.25,100,125,125,0.125,125,125,125
0.8125,0.8125,0.8125,25,25,1912.5,15,62.5,200,250,250,0.25,250,250,250
3.25,3.25,3.25,50,50,3825,30,125,400,500,500,0.5,500,500,500
13,13,13,100,100,7650,60,250,800,1000,1000,1,1000,1000,1000
52,52,52,200,200,15300,120,500,1600,2000,2000,2,2000,2000,2000
